SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
TIMETECHNO,27-Jun-2025,451.02,312350,31.68,443.45,22454,985920,4446.69,140876097.0
TIMKEN,27-Jun-2025,3387.31,246099,66.79,3353.2,32175,368480,12481.56,833613603.6899999
TINNARUBR,27-Jun-2025,951.07,7643,40.06,945.1,2315,19078,181.45,7269028.010000001
TIPSFILMS,27-Jun-2025,576.23,3393,70.13,572.15,552,4838,27.88,1955148.3900000001
TIPSMUSIC,27-Jun-2025,674.53,28207,51.74,673.95,5198,54521,367.76,19026467.71
TIRUMALCHM,27-Jun-2025,289.81,238584,39.18,288.2,13177,608970,1764.87,69144029.04
TITAGARH,27-Jun-2025,954.65,1363241,31.49,936.35,82044,4329798,41334.33,1301418020.6499999
TITAN,27-Jun-2025,3673.76,305574,50.82,3666.2,67828,601285,22089.74,1122605538.24
TMB,27-Jun-2025,443.18,21023,56.26,442.7,2994,37365,165.6,9316973.14
TNIDETF,27-Jun-2025,95.07,52460,69.11,94.62,695,75911,72.16,4987372.199999999
TNPETRO,27-Jun-2025,97.75,133154,27.65,96.26,4167,481642,470.79,13015803.5
TNPL,27-Jun-2025,165.45,37001,51.17,166.09,2072,72314,119.65,6121815.449999999
TNTELE,27-Jun-2025,11.27,70127,47.50,11.02,966,147621,16.63,790331.2899999999
TOKYOPLAST,27-Jun-2025,136.02,10369,65.48,133.84,616,15836,21.54,1410391.3800000001
TOLINS,27-Jun-2025,161.4,49006,65.19,161.43,1731,75176,121.33,7909568.4
TOP100CASE,27-Jun-2025,10.83,334482,75.38,10.84,1474,443741,48.06,3622440.06
TOP10ADD,27-Jun-2025,100.89,106594,83.82,100.94,1224,127165,128.3,10754268.66
TORNTPHARM,27-Jun-2025,3327.99,826436,47.51,3341.4,109497,1739609,57893.95,2750370743.64
TORNTPOWER,27-Jun-2025,1477.43,643955,62.04,1473.2,50127,1038044,15336.4,951398435.6500001
TOTAL,27-Jun-2025,85.14,7768,55.20,84.06,244,14073,11.98,661367.52
TOUCHWOOD,27-Jun-2025,125.12,27197,14.03,121.36,2978,193804,242.48,3402888.64
TPLPLASTEH,27-Jun-2025,80.47,30836,17.82,80.49,1745,172998,139.21,2481372.92
TRACXN,27-Jun-2025,58.88,93591,43.89,58.69,1687,213256,125.56,5510638.08
